stop_atr,take_profit_atr,trailing_atr,downside_return_threshold,downside_vol_ratio,exit_cooldown_bars,drawdown_brake_enabled,price_drawdown_enter,price_drawdown_exit,price_drawdown_scale,train_cagr,train_sharpe,train_max_drawdown,train_total_return,validation_cagr,validation_sharpe,validation_max_drawdown,validation_total_return,robust_score,train_trade_count,validation_trade_count,downside_trigger_count,fast_downside_exit_count,drawdown_profile
3.0,12.0,3.0,-0.05,1.2,3,True,0.15,0.075,0.3,0.8194235900480593,1.932916144297896,-0.21748977784356283,5.023664417114405,1.3488801610679224,1.8364065236000764,-0.309691404642897,4.521539374779213,1.8915463526879066,102.0,77.0,1123,48,
2.5,12.0,3.0,-0.05,1.2,3,True,0.15,0.075,0.3,0.8194235900480593,1.932916144297896,-0.21748977784356283,5.023664417114405,1.3488801610679224,1.8364065236000764,-0.309691404642897,4.521539374779213,1.8915463526879066,102.0,77.0,1123,48,
3.5,12.0,3.5,-0.06,1.2,3,True,0.15,0.075,0.3,0.8307308385133163,1.9468064606013242,-0.22191301891132886,5.1366790570721275,1.3491530128394689,1.8356522059984826,-0.3138220252576527,4.522822826276456,1.8908418642454816,101.0,78.0,1000,33,
3.0,12.0,3.5,-0.06,1.2,3,True,0.15,0.075,0.3,0.8307308385133163,1.9468064606013242,-0.22191301891132886,5.1366790570721275,1.3491530128394689,1.8356522059984826,-0.3138220252576527,4.522822826276456,1.8908418642454816,101.0,78.0,1000,33,
2.5,12.0,2.5,-0.06,1.3,0,False,0.15,0.075,0.3,1.0560497192180263,1.94488108236223,-0.25964604659809154,7.693051600054748,1.3601691944274519,1.8073388984112508,-0.31312832468222074,4.574765828451636,1.8887258189558103,111.0,86.0,783,31,disabled
3.0,12.0,2.5,-0.06,1.3,0,False,0.15,0.075,0.3,1.0560497192180263,1.94488108236223,-0.25964604659809154,7.693051600054748,1.3601691944274519,1.8073388984112508,-0.31312832468222074,4.574765828451636,1.8887258189558103,111.0,86.0,783,31,disabled
3.5,12.0,2.5,-0.06,1.3,0,False,0.15,0.075,0.3,1.0560497192180263,1.94488108236223,-0.25964604659809154,7.693051600054748,1.3601691944274519,1.8073388984112508,-0.31312832468222074,4.574765828451636,1.8887258189558103,111.0,86.0,783,31,disabled
3.5,12.0,2.5,-0.04,1.2,3,True,0.15,0.075,0.3,0.7797543609163315,1.8703121477209965,-0.23700011225501239,4.638158985317634,1.3646469606282108,1.8511778941755483,-0.30619777479997734,4.595948717210803,1.8886287102313082,107.0,79.0,1305,60,
2.5,12.0,2.5,-0.04,1.2,3,True,0.15,0.075,0.3,0.7797543609163315,1.8703121477209965,-0.23700011225501239,4.638158985317634,1.3646469606282108,1.8511778941755483,-0.30619777479997734,4.595948717210803,1.8886287102313082,107.0,79.0,1305,60,
3.0,12.0,2.5,-0.04,1.2,3,True,0.15,0.075,0.3,0.7797543609163315,1.8703121477209965,-0.23700011225501239,4.638158985317634,1.3646469606282108,1.8511778941755483,-0.30619777479997734,4.595948717210803,1.8886287102313082,107.0,79.0,1305,60,
3.0,12.0,2.5,-0.06,1.1,0,False,0.15,0.075,0.3,1.059166472371238,1.9489818880269043,-0.26079559439850697,7.73264780722041,1.354902772158984,1.8033891168582232,-0.31312832468222074,4.549903486053239,1.8848246141332172,114.0,89.0,1275,55,disabled
2.5,12.0,2.5,-0.06,1.1,0,False,0.15,0.075,0.3,1.059166472371238,1.9489818880269043,-0.26079559439850697,7.73264780722041,1.354902772158984,1.8033891168582232,-0.31312832468222074,4.549903486053239,1.8848246141332172,114.0,89.0,1275,55,disabled
3.5,12.0,2.5,-0.06,1.1,0,False,0.15,0.075,0.3,1.059166472371238,1.9489818880269043,-0.26079559439850697,7.73264780722041,1.354902772158984,1.8033891168582232,-0.31312832468222074,4.549903486053239,1.8848246141332172,114.0,89.0,1275,55,disabled
2.5,12.0,3.5,-0.05,1.2,3,True,0.15,0.075,0.3,0.8114602739266474,1.9198569082776604,-0.22311360322856122,4.944910394207979,1.3441439129949746,1.832633188912996,-0.3138220252576527,4.499284589684091,1.8833684420840449,102.0,77.0,1123,48,
3.0,12.0,3.0,-0.04,1.2,3,True,0.15,0.075,0.3,0.7928211865281058,1.8913236674264107,-0.21786110819154558,4.763267437096934,1.3417654777807484,1.8328679577222566,-0.318872180621006,4.488125704920688,1.8825016409321051,106.0,78.0,1305,60,
