ema_fast,ema_slow,atr_period,adx_period,adx_enter,adx_exit,trend_separation_atr,rsi_period,rsi_entry,rsi_exit,bb_period,bb_std,mr_stop_atr,mr_max_bars,target_vol,max_leverage,trend_scale,rebound_scale,total_return,cagr,annualized_volatility,sharpe,sortino,max_drawdown,trade_count,win_rate,final_equity
24,120,20,14,27.0,22.0,0.15,14,27.0,52.0,24,2.0,2.2,18,0.35,3.0,1.0,0.65,0.6550274133635103,0.1826684914496548,0.17401329835580046,1.050261530819443,1.7423716308571195,-0.1554469903682113,3580.0,0.4972067039106145,16550.274133635103
24,120,20,14,27.0,22.0,0.15,14,27.0,52.0,24,2.2,2.2,18,0.35,3.0,1.0,0.65,0.6550274133635103,0.1826684914496548,0.17401329835580046,1.050261530819443,1.7423716308571195,-0.1554469903682113,3580.0,0.4972067039106145,16550.274133635103
24,120,20,14,27.0,22.0,0.15,14,30.0,52.0,24,2.0,2.2,18,0.35,3.0,1.0,0.65,0.6418023259814087,0.17951300042722895,0.1746828475392864,1.0316190250925648,1.7114406019966923,-0.1554469903682113,3628.0,0.4972436604189636,16418.023259814086
18,96,20,14,27.0,22.0,0.15,14,27.0,52.0,24,1.8,2.2,18,0.35,3.0,1.0,0.65,0.6447759513101825,0.18022397743211505,0.1762330450555386,1.0275166062944912,1.6943566237179306,-0.16462015848036227,3628.0,0.49834619625137816,16447.759513101824
24,120,20,14,27.0,22.0,0.15,14,30.0,52.0,24,2.2,2.2,18,0.35,3.0,1.0,0.65,0.6347874011447201,0.17783236178746065,0.1745829191221679,1.0239471309915853,1.6986027827548413,-0.1554469903682113,3618.0,0.4966832504145937,16347.874011447202
18,96,20,14,27.0,22.0,0.15,14,30.0,52.0,24,1.8,2.2,18,0.35,3.0,1.0,0.65,0.6363991013190637,0.17821891857333028,0.1768755245183439,1.0148182532288201,1.67364555297292,-0.1646201584803626,3673.0,0.49823032943098283,16363.991013190638
18,96,20,14,27.0,22.0,0.15,14,27.0,52.0,24,2.0,2.2,18,0.35,3.0,1.0,0.65,0.6311893463361951,0.17696847146804373,0.17616707781547652,1.012165544300941,1.668690810033367,-0.16462015848036227,3621.0,0.4979287489643745,16311.89346336195
18,96,20,14,27.0,22.0,0.15,14,27.0,52.0,24,2.2,2.2,18,0.35,3.0,1.0,0.65,0.6311893463361951,0.17696847146804373,0.17616707781547652,1.012165544300941,1.668690810033367,-0.16462015848036227,3621.0,0.4979287489643745,16311.89346336195
30,96,20,14,27.0,22.0,0.15,14,27.0,52.0,24,1.8,2.2,18,0.35,3.0,1.0,0.65,0.6210355265902354,0.1745236719385519,0.17506938820504248,1.0055474509430384,1.6535126916774474,-0.14329639408271433,3570.0,0.4997198879551821,16210.355265902353
18,96,20,14,27.0,22.0,0.15,14,30.0,52.0,24,2.0,2.2,18,0.35,3.0,1.0,0.65,0.618154713684169,0.1738281810376996,0.17682719965546623,0.9939460512573977,1.6387552503274196,-0.16462015848036227,3669.0,0.49795584627964024,16181.54713684169
30,96,20,14,27.0,22.0,0.15,14,30.0,52.0,24,1.8,2.2,18,0.35,3.0,1.0,0.65,0.6127797938980919,0.17252834738482847,0.17571715914579092,0.9928167189449155,1.6328465151561675,-0.14329639408271355,3615.0,0.4995850622406639,16127.797938980919
30,96,20,14,27.0,22.0,0.15,14,27.0,52.0,24,2.0,2.2,18,0.35,3.0,1.0,0.65,0.6076450284308677,0.17128388958193508,0.17500294585254067,0.990088721285472,1.6277450055960565,-0.14329639408271433,3563.0,0.49929834409205726,16076.450284308676
30,96,20,14,27.0,22.0,0.15,14,27.0,52.0,24,2.2,2.2,18,0.35,3.0,1.0,0.65,0.6076450284308677,0.17128388958193508,0.17500294585254067,0.990088721285472,1.6277450055960565,-0.14329639408271433,3563.0,0.49929834409205726,16076.450284308676
18,96,20,14,27.0,22.0,0.15,14,30.0,52.0,24,2.2,2.2,18,0.35,3.0,1.0,0.65,0.6112408279434887,0.17215564245882442,0.17672846714810106,0.9863392691726706,1.6260936115034679,-0.16462015848036227,3659.0,0.49740366220278764,16112.408279434887
30,96,20,14,27.0,22.0,0.15,14,30.0,52.0,24,2.0,2.2,18,0.35,3.0,1.0,0.65,0.5947987404338893,0.1681588162685861,0.17566846661033764,0.9718028666233951,1.5978237359185372,-0.14329639408271433,3611.0,0.4993076710052617,15947.987404338892
30,96,20,14,27.0,22.0,0.15,14,30.0,52.0,24,2.2,2.2,18,0.35,3.0,1.0,0.65,0.5879846477037554,0.16649435572996096,0.17556906356573934,0.964137110865717,1.5851016352267064,-0.14329639408271433,3601.0,0.4987503471257984,15879.846477037554
24,96,20,14,27.0,22.0,0.15,14,27.0,52.0,24,1.8,2.2,18,0.35,3.0,1.0,0.65,0.5671675897786934,0.161379731815241,0.17578169907110258,0.9381939016890372,1.5460280750064417,-0.1748443382871997,3619.0,0.49682232660956066,15671.675897786934
24,96,20,14,27.0,22.0,0.15,14,30.0,52.0,24,1.8,2.2,18,0.35,3.0,1.0,0.65,0.5591860058414873,0.1594066886479788,0.17642651168501422,0.9257768612798652,1.5257945334865903,-0.17484433828719959,3664.0,0.49672489082969434,15591.860058414872
24,96,20,14,27.0,22.0,0.15,14,27.0,52.0,24,2.0,2.2,18,0.35,3.0,1.0,0.65,0.5542220655245149,0.15817620543738764,0.17571544591940216,0.9227713766495733,1.5202894734611416,-0.1748443382871997,3612.0,0.49640088593576964,15542.22065524515
