,V4,V4.1.2,V4.2.2,V7.1,V7.1.2,V7.1.3,BTC
2024-08-01 04:00:00+00:00,273878.91349272267,226467.89296679306,124902.28313051762,524011.69519964413,645639.2049613525,271178.2165815036,88501.65820830422
2024-08-01 08:00:00+00:00,273879.3021248787,226467.89296679306,124902.95374575263,523038.2558987358,644388.3858752449,270784.2499984645,89034.22348078349
2024-08-01 12:00:00+00:00,273879.6338605341,226467.89296679306,124902.95374575263,522276.5908338757,643338.7742614743,270453.6571049052,89515.96934218635
2024-08-01 16:00:00+00:00,273877.87714294554,226467.89296679306,124903.62436458826,526310.0144174161,648897.0287119629,272204.3231587271,87088.96166388568
2024-08-01 20:00:00+00:00,273878.4284280246,226467.89296679306,124903.62436458826,525044.2638758485,647152.7627217538,271654.9371446293,87795.72535362418
2024-08-02 00:00:00+00:00,273880.3111716841,226467.89296679306,124904.29498702452,520721.4844334757,641195.7617828742,269778.6791540718,90462.56741880318
2024-08-02 04:00:00+00:00,273879.5758387941,226467.89296679306,124904.29498702452,520668.6487714733,641120.410653254,269757.4290233835,89453.3797677816
2024-08-02 08:00:00+00:00,273879.135911553,226467.89296679306,124904.9656130847,520668.6487714733,641120.410653254,269757.4290233835,88824.57610102955
2024-08-02 12:00:00+00:00,273879.610128977,226467.89296679306,124904.9656130847,520668.6487714733,641120.410653254,269757.4290233835,89508.63029916986
2024-08-02 16:00:00+00:00,273878.3758419694,226467.89296679306,124905.63624269898,520668.6487714733,641120.410653254,269757.4290233835,87782.5704651984
2024-08-02 20:00:00+00:00,273877.575383595,226467.89296679306,124905.63624269898,520668.6487714733,641120.410653254,269757.4290233835,86711.07018479158
2024-08-03 00:00:00+00:00,273876.446683595,226467.89296679306,124906.30687593725,520668.6487714733,641120.410653254,269757.4290233835,85138.02247408833
2024-08-03 04:00:00+00:00,273876.817435225,226467.89296679306,124906.30687593725,520484.39286101103,640881.6658454764,269682.055646098,85662.14092347315
2024-08-03 08:00:00+00:00,273876.59273522504,226467.89296679306,124906.97751277624,520587.53016101103,641023.6762454765,269726.88930575864,85348.91610642997
2024-08-03 12:00:00+00:00,273876.839881577,226467.89296679306,124906.97751277624,520474.0899854474,640867.4797510186,269677.5769985423,85693.43571067553
2024-08-03 16:00:00+00:00,273875.82070216036,226467.89296679306,124907.64815323922,520941.89333769894,641511.601142354,269880.93055039004,84271.18456308461
