,main_v43,xuyujian_v71_ref,wzy_v71_risk_adjusted_plus
2024-03-27 12:00:00+00:00,42747.00412696298,17981.839599007602,24500.32432136536
2024-03-27 16:00:00+00:00,42168.78556846235,17895.721941358574,23925.614401911887
2024-03-27 20:00:00+00:00,42099.587865016445,17880.41892201526,23914.34508544669
2024-03-28 00:00:00+00:00,42156.18589778187,17933.47492201526,23914.34508544669
2024-03-28 04:00:00+00:00,42127.95777577,17920.898353653018,23914.34508544669
2024-03-28 08:00:00+00:00,42293.4743953032,17991.05109305782,23914.34508544669
2024-03-28 12:00:00+00:00,42329.31957910747,18006.24375374307,23914.34508544669
2024-03-28 16:00:00+00:00,42421.15497329191,18003.9359559667,23914.34508544669
2024-03-28 20:00:00+00:00,42346.98816730234,18003.9359559667,23914.34508544669
2024-03-29 00:00:00+00:00,42345.12497348393,18003.9359559667,23914.34508544669
2024-03-29 04:00:00+00:00,42291.59727077374,18003.9359559667,23764.281062601563
2024-03-29 08:00:00+00:00,42195.176156518704,18003.9359559667,23486.511627496013
2024-03-29 12:00:00+00:00,42242.28340822053,18003.9359559667,23496.3882578074
2024-03-29 16:00:00+00:00,42096.7781654266,18003.9359559667,23124.57107521682
2024-03-29 20:00:00+00:00,42169.32270583186,18003.9359559667,23111.670036241205
2024-03-30 00:00:00+00:00,42196.17210686069,18003.9359559667,23111.670036241205
2024-03-30 04:00:00+00:00,42183.862268977085,18003.9359559667,23111.670036241205
2024-03-30 08:00:00+00:00,42194.80895186323,18003.9359559667,23111.670036241205
2024-03-30 12:00:00+00:00,42241.85220483389,18003.9359559667,23111.670036241205
2024-03-30 16:00:00+00:00,42214.75233829607,18003.9359559667,23111.670036241205
2024-03-30 20:00:00+00:00,42194.85015785618,18003.9359559667,23111.670036241205
2024-03-31 00:00:00+00:00,42147.265877511774,18003.9359559667,23111.670036241205
2024-03-31 04:00:00+00:00,42194.935892061716,18003.9359559667,23111.670036241205
2024-03-31 08:00:00+00:00,42252.41659353288,18003.9359559667,23111.670036241205
2024-03-31 12:00:00+00:00,42261.455577348876,18003.9359559667,23111.670036241205
2024-03-31 16:00:00+00:00,42260.71373452997,18003.9359559667,23111.670036241205
2024-03-31 20:00:00+00:00,42359.9784326753,18003.9359559667,23111.670036241205
2024-04-01 00:00:00+00:00,42394.53157705793,18003.9359559667,23111.670036241205
2024-04-01 04:00:00+00:00,41908.734819680714,18003.9359559667,22768.37342057954
2024-04-01 08:00:00+00:00,41764.830894399885,18003.9359559667,22719.571135480648
2024-04-01 12:00:00+00:00,41757.77453334151,18003.9359559667,22719.571135480648
2024-04-01 16:00:00+00:00,41757.77453334151,18003.9359559667,22719.571135480648
2024-04-01 20:00:00+00:00,41757.77453334151,18003.9359559667,22719.571135480648
2024-04-02 00:00:00+00:00,41757.77453334151,18003.9359559667,22719.571135480648
2024-04-02 04:00:00+00:00,41757.77453334151,18003.9359559667,22719.571135480648
2024-04-02 08:00:00+00:00,41757.77453334151,18003.9359559667,22719.571135480648
2024-04-02 12:00:00+00:00,41757.77453334151,18003.9359559667,22719.571135480648
2024-04-02 16:00:00+00:00,41757.77453334151,18003.9359559667,22719.571135480648
2024-04-02 20:00:00+00:00,41757.77453334151,18003.9359559667,22719.571135480648
2024-04-03 00:00:00+00:00,41757.77453334151,18003.9359559667,22719.571135480648
2024-04-03 04:00:00+00:00,41757.77453334151,18003.9359559667,22719.571135480648
2024-04-03 08:00:00+00:00,41757.77453334151,18003.9359559667,22719.571135480648
2024-04-03 12:00:00+00:00,41757.77453334151,18003.9359559667,22719.571135480648
2024-04-03 16:00:00+00:00,41757.77453334151,18003.9359559667,22719.571135480648
2024-04-03 20:00:00+00:00,41757.77453334151,18003.9359559667,22719.571135480648
2024-04-04 00:00:00+00:00,41757.77453334151,18003.9359559667,22719.571135480648
2024-04-04 04:00:00+00:00,41757.77453334151,18003.9359559667,22719.571135480648
2024-04-04 08:00:00+00:00,41757.77453334151,18003.9359559667,22719.571135480648
2024-04-04 12:00:00+00:00,41757.77453334151,18003.9359559667,22719.571135480648
2024-04-04 16:00:00+00:00,41757.77453334151,18003.9359559667,22719.571135480648
2024-04-04 20:00:00+00:00,41757.77453334151,18003.9359559667,22719.571135480648
2024-04-05 00:00:00+00:00,41757.77453334151,18003.9359559667,22719.571135480648
2024-04-05 04:00:00+00:00,41757.77453334151,18003.9359559667,22719.571135480648
2024-04-05 08:00:00+00:00,41757.77453334151,18003.9359559667,22719.571135480648
2024-04-05 12:00:00+00:00,41757.77453334151,18003.9359559667,22719.571135480648
2024-04-05 16:00:00+00:00,41757.77453334151,18003.9359559667,22719.571135480648
2024-04-05 20:00:00+00:00,41757.77453334151,18003.9359559667,22719.571135480648
