,V1,V2,V3,V4.1,V5,V6,BTC
2023-06-30 16:00:00+00:00,91581.73467307056,89437.95510818719,106941.8243310393,109352.87163114353,104579.80207436426,16791.203243325916,41613.75862856826
2023-06-30 20:00:00+00:00,91452.55222577088,89305.17173968218,106775.31122789012,109182.00274422622,104416.81230079904,16791.203243325916,42040.66937611211
2023-07-01 00:00:00+00:00,91452.55222577088,89305.17173968218,106775.40332146268,109182.00274422622,104416.81230079904,16791.203243325916,42179.00341334737
2023-07-01 04:00:00+00:00,91452.55222577088,89305.17173968218,106775.32963652175,109182.00274422622,104416.81230079904,16791.203243325916,42083.45738162332
2023-07-01 08:00:00+00:00,91452.55222577088,89305.17173968218,106775.38503652175,109182.00274422622,104416.81230079904,16791.203243325916,42162.248239668224
2023-07-01 12:00:00+00:00,91452.55222577088,89305.17173968218,106775.44659423665,109182.00274422622,104416.81230079904,16791.203243325916,42245.88563555421
2023-07-01 16:00:00+00:00,91452.55222577088,89305.17173968218,106775.50161747783,109182.00274422622,104416.81230079904,16791.203243325916,42319.27606571905
2023-07-01 20:00:00+00:00,91452.55222577088,89305.17173968218,106775.53470336033,109182.00274422622,104416.81230079904,16791.203243325916,42373.28034451961
2023-07-02 00:00:00+00:00,91452.55222577088,89305.17173968218,106775.50696848758,109182.00274422622,104416.81230079904,16791.203243325916,42336.031239398195
2023-07-02 04:00:00+00:00,91452.55222577088,89305.17173968218,106775.4343773765,109182.00274422622,104416.81230079904,16791.203243325916,42241.31604273262
2023-07-02 08:00:00+00:00,91452.55222577088,89305.17173968218,106775.43387737649,109182.00274422622,104416.81230079904,16791.203243325916,42240.62368018389
2023-07-02 12:00:00+00:00,91452.55222577088,89305.17173968218,106775.4633269065,109182.00274422622,104416.81230079904,16791.203243325916,42285.62724585102
2023-07-02 16:00:00+00:00,91452.55222577088,89305.17173968218,106775.41940307317,109182.00274422622,104416.81230079904,16791.203243325916,42222.20683638781
2023-07-02 20:00:00+00:00,91452.55222577088,89305.17173968218,106775.47604673513,109182.00274422622,104416.81230079904,16791.203243325916,42307.22895737123
2023-07-03 00:00:00+00:00,91452.55222577088,89305.17173968218,106775.53817758807,109182.00274422622,104416.81230079904,16791.203243325916,42390.1739907085
